Country Name,Country Code,Year,Value
Andorra,AND,2018,3.24672
Azerbaijan,AZE,2018,2.45543
Burundi,BDI,2018,5.07865
Benin,BEN,2018,2.93397
Burkina Faso,BFA,2018,5.38379
Belize,BLZ,2018,7.56149
Bhutan,BTN,2018,6.85084
Cote d'Ivoire,CIV,2018,3.25603
Cameroon,CMR,2018,3.1312
"Congo, Rep.",COG,2018,3.51105
Colombia,COL,2018,4.45749
Costa Rica,CRI,2018,6.97857
Djibouti,DJI,2018,3.62774
Georgia,GEO,2018,3.52106
Ghana,GHA,2018,3.98944
Guinea,GIN,2018,2.31594
Gambia,GMB,2018,2.4203
Guatemala,GTM,2018,3.14093
Guyana,GUY,2018,5.49358
Hong Kong SAR,HKG,2018,3.32652
Honduras,HND,2018,6.06746
Haiti,HTI,2018,2.78047
Iran,IRN,2018,3.95536
Jamaica,JAM,2018,5.41478
Jordan,JOR,2018,3.03435
Kazakhstan,KAZ,2018,2.61595
Kenya,KEN,2018,5.30625
Cambodia,KHM,2018,2.16286
Liberia,LBR,2018,2.58412
St. Lucia,LCA,2018,3.3318
Sri Lanka,LKA,2018,2.12421
Lesotho,LSO,2018,6.98519
Macau SAR,MAC,2018,2.7387
Moldova,MDA,2018,5.43973
Madagascar,MDG,2018,2.82549
Myanmar,MMR,2018,1.92289
Mozambique,MOZ,2018,5.49985
Montserrat,MSR,2018,8.32227
Mauritius,MUS,2018,4.83459
Malawi,MWI,2018,4.71484
Malaysia,MYS,2018,4.48126
Niger,NER,2018,3.54721
Nepal,NPL,2018,5.10207
Peru,PER,2018,3.72316
Papua New Guinea,PNG,2018,1.93089
Rwanda,RWA,2018,3.07375
Senegal,SEN,2018,4.83328
Sierra Leone,SLE,2018,6.98963
El Salvador,SLV,2018,3.59242
San Marino,SMR,2018,3.59286
Serbia,SRB,2018,3.58539
Sao Tome and Principe,STP,2018,5.14907
Turks and Caicos Islands,TCA,2018,2.91435
Togo,TGO,2018,5.36957
Timor-Leste,TLS,2018,6.79295
Tanzania,TZA,2018,3.69644
Uganda,UGA,2018,2.13052
Uruguay,URY,2018,5.04759
St. Vincent and the Grenadines,VCT,2018,5.69378
British Virgin Islands,VGB,2018,2.46599
Viet Nam,VNM,2018,4.16745
South Africa,ZAF,2018,6.15899
Zambia,ZMB,2018,4.61809
Zimbabwe,ZWE,2018,5.87135
Andorra,AND,2019,3.15162
Bangladesh,BGD,2019,1.32632
Costa Rica,CRI,2019,7.04876
Dominica,DMA,2019,5.57345
Guatemala,GTM,2019,3.2122
Hong Kong SAR,HKG,2019,3.81058
Jamaica,JAM,2019,5.16919
Jordan,JOR,2019,3.07253
Myanmar,MMR,2019,1.93208
Mauritania,MRT,2019,1.89546
Mauritius,MUS,2019,4.71935
Malaysia,MYS,2019,4.16319
Peru,PER,2019,3.84729
Qatar,QAT,2019,2.69535
Sierra Leone,SLE,2019,7.70228
South Africa,ZAF,2019,6.50505
