Country Name,Country Code,Year,Value
Argentina,AR,2022,4.80521011352539
Argentina,AR,2021,4.64117002487183
Argentina,AR,2020,5.27689981460571
Argentina,AR,2019,4.7716498374939
Argentina,AR,2018,4.87773990631104
Australia,AU,2022,5.20677661895752
Australia,AU,2021,5.33320999145508
Australia,AU,2020,5.37828016281128
Australia,AU,2019,5.50858879089355
Australia,AU,2018,5.40967607498169
Belgium,BE,2022,
Belgium,BE,2021,6.35551977157593
Belgium,BE,2020,6.80185985565186
Belgium,BE,2019,6.33397006988525
Belgium,BE,2018,6.38107013702393
Canada,CA,2022,4.13957166671753
Canada,CA,2021,4.74860000610352
Canada,CA,2020,4.88794994354248
Canada,CA,2019,4.77293014526367
Canada,CA,2018,4.8889799118042
China (Mainland),CN,2022,4.02356958389282
China (Mainland),CN,2021,3.98832511901855
China (Mainland),CN,2020,4.2333812713623
China (Mainland),CN,2019,4.05939483642578
China (Mainland),CN,2018,4.02442407608032
Denmark,DK,2022,5.29643440246582
Denmark,DK,2021,6.99992990493774
Denmark,DK,2020,7.38354015350342
Denmark,DK,2019,7.25505018234253
Denmark,DK,2018,7.29690980911255
France,FR,2022,
France,FR,2021,5.43038988113403
France,FR,2020,5.65981006622314
France,FR,2019,5.35443019866943
France,FR,2018,5.40716981887817
Germany,DE,2022,4.54389047622681
Germany,DE,2021,5.45488977432251
Germany,DE,2020,5.59038019180298
Germany,DE,2019,5.11552000045776
Germany,DE,2018,4.97933006286621
Japan,JP,2022,3.23762130737305
Japan,JP,2021,3.33563995361328
Japan,JP,2020,3.30628991127014
Japan,JP,2019,3.15533995628357
Japan,JP,2018,3.07782006263733
Netherlands,NL,2022,5.05201101303101
Netherlands,NL,2021,5.50609016418457
Netherlands,NL,2020,5.42381000518799
Netherlands,NL,2019,5.15986013412476
Netherlands,NL,2018,5.35764980316162
New Zealand,NZ,2022,5.23012018203735
New Zealand,NZ,2021,5.54822015762329
New Zealand,NZ,2020,5.65149021148682
New Zealand,NZ,2019,5.17797994613647
New Zealand,NZ,2018,5.19308996200562
Russia,RU,2022,4.05402755737305
Russia,RU,2021,3.99480700492859
Russia,RU,2020,4.01641845703125
Russia,RU,2019,3.69561433792114
Russia,RU,2018,4.67819976806641
Singapore,SG,2022,2.48891997337341
Singapore,SG,2021,2.82470989227295
Singapore,SG,2020,2.6869900226593
Singapore,SG,2019,2.72951006889343
Singapore,SG,2018,2.85660004615784
South Korea,KR,2022,
South Korea,KR,2021,4.86627006530762
South Korea,KR,2020,4.8017201423645
South Korea,KR,2019,4.68465995788574
South Korea,KR,2018,4.45807981491089
Sweden,SE,2022,
Sweden,SE,2021,7.57219982147217
Sweden,SE,2020,7.92561006546021
Sweden,SE,2019,7.63851022720337
Sweden,SE,2018,7.64084005355835
Switzerland,CH,2022,4.88824462890625
Switzerland,CH,2021,5.03708982467651
Switzerland,CH,2020,5.27676010131836
Switzerland,CH,2019,5.01438999176025
Switzerland,CH,2018,4.93008995056152
Taiwan,TW,2022,6.0
Taiwan,TW,2021,6.0
Taiwan,TW,2020,5.9
Taiwan,TW,2019,5.8
Taiwan,TW,2018,5.8
United Kingdom,GB,2022,4.95917558670044
United Kingdom,GB,2021,5.90458011627197
United Kingdom,GB,2020,5.43935012817383
United Kingdom,GB,2019,5.26115989685059
United Kingdom,GB,2018,5.20437002182007
United States,US,2022,
United States,US,2021,5.42829990386963
United States,US,2020,5.39998006820679
United States,US,2019,4.95746994018555
United States,US,2018,4.89502000808716
