Country Name,Country Code,Year,Value
Argentina,AR,2022,632790070063.124
Argentina,AR,2021,486564085480.036
Argentina,AR,2020,385740508436.965
Argentina,AR,2019,447754683615.225
Argentina,AR,2018,524819892360.176
Australia,AU,2022,1690858246994.43
Australia,AU,2021,1556735770437.26
Australia,AU,2020,1328414058378.38
Australia,AU,2019,1392723834562.64
Australia,AU,2018,1427809041019.44
Belgium,BE,2022,593438820508.173
Belgium,BE,2021,598494036474.409
Belgium,BE,2020,529694473501.791
Belgium,BE,2019,536726344405.489
Belgium,BE,2018,542638913427.921
Canada,CA,2022,2161483369422.01
Canada,CA,2021,2007472181464.15
Canada,CA,2020,1655684730000.19
Canada,CA,2019,1743725183672.52
Canada,CA,2018,1725329192783.02
China (Mainland),CN,2022,17881782683707.3
China (Mainland),CN,2021,17820459508852.2
China (Mainland),CN,2020,14687744162801.0
China (Mainland),CN,2019,14279968506271.7
China (Mainland),CN,2018,13894907857880.6
Denmark,DK,2022,401945576107.963
Denmark,DK,2021,408378204639.999
Denmark,DK,2020,355631021931.621
Denmark,DK,2019,345401473012.615
Denmark,DK,2018,355293374912.393
France,FR,2022,2796302210398.84
France,FR,2021,2966433692008.09
France,FR,2020,2647926055110.05
France,FR,2019,2722793515171.76
France,FR,2018,2781576320884.39
Germany,DE,2022,4163596357879.39
Germany,DE,2021,4348297440387.53
Germany,DE,2020,3940142541354.1
Germany,DE,2019,3957208055215.68
Germany,DE,2018,4052008447223.53
Japan,JP,2022,4256410760723.75
Japan,JP,2021,5034620784584.98
Japan,JP,2020,5055587093501.59
Japan,JP,2019,5117993853016.51
Japan,JP,2018,5040880939324.86
Netherlands,NL,2022,1046540797548.64
Netherlands,NL,2021,1054472123449.6
Netherlands,NL,2020,932560861701.17
Netherlands,NL,2019,928903005576.469
Netherlands,NL,2018,929733599796.862
New Zealand,NZ,2022,246733522841.353
New Zealand,NZ,2021,253644079784.977
New Zealand,NZ,2020,212697530897.56
New Zealand,NZ,2019,212846907683.439
New Zealand,NZ,2018,211846555690.736
Russia,RU,2022,2266029240645.34
Russia,RU,2021,1843392293734.38
Russia,RU,2020,1493075894362.14
Russia,RU,2019,1693115002708.32
Russia,RU,2018,1657328773461.31
Singapore,SG,2022,498474540987.78
Singapore,SG,2021,434111559282.849
Singapore,SG,2020,349488382610.662
Singapore,SG,2019,376901649222.451
Singapore,SG,2018,376892697588.005
South Korea,KR,2022,1673916511799.71
South Korea,KR,2021,1818432106880.04
South Korea,KR,2020,1644312831906.17
South Korea,KR,2019,1651422932447.77
South Korea,KR,2018,1725373496825.43
Sweden,SE,2022,579895717343.956
Sweden,SE,2021,637186904843.636
Sweden,SE,2020,545147614972.141
Sweden,SE,2019,532169294165.94
Sweden,SE,2018,551312498430.164
Switzerland,CH,2022,818426550206.45
Switzerland,CH,2021,813408787222.499
Switzerland,CH,2020,741999406005.627
Switzerland,CH,2019,721369112726.724
Switzerland,CH,2018,725568717468.001
Taiwan,TW,2022,760000000000.0
Taiwan,TW,2021,700000000000.0
Taiwan,TW,2020,650000000000.0
Taiwan,TW,2019,600000000000.0
Taiwan,TW,2018,550000000000.0
United Kingdom,GB,2022,3114042471144.39
United Kingdom,GB,2021,3143323050707.26
United Kingdom,GB,2020,2696778386607.65
United Kingdom,GB,2019,2851407164907.81
United Kingdom,GB,2018,2871340347581.79
United States,US,2022,26006893000000.0
United States,US,2021,23681171000000.0
United States,US,2020,21354105000000.0
United States,US,2019,21539982000000.0
United States,US,2018,20656516000000.0
