Country Name,Country Code,Year,Value
Argentina,AR,2022,45407904
Argentina,AR,2021,45312281
Argentina,AR,2020,45191965
Argentina,AR,2019,44973465
Argentina,AR,2018,44654882
Australia,AU,2022,26014399
Australia,AU,2021,25685412
Australia,AU,2020,25649248
Australia,AU,2019,25334826
Australia,AU,2018,24963258
Belgium,BE,2022,11680210
Belgium,BE,2021,11586195
Belgium,BE,2020,11538604
Belgium,BE,2019,11488980
Belgium,BE,2018,11427054
Canada,CA,2022,38939056
Canada,CA,2021,38239864
Canada,CA,2020,38028638
Canada,CA,2019,37618495
Canada,CA,2018,37072620
China (Mainland),CN,2022,1412175000
China (Mainland),CN,2021,1412360000
China (Mainland),CN,2020,1411100000
China (Mainland),CN,2019,1407745000
China (Mainland),CN,2018,1402760000
Denmark,DK,2022,5903037
Denmark,DK,2021,5856733
Denmark,DK,2020,5831404
Denmark,DK,2019,5814422
Denmark,DK,2018,5793636
France,FR,2022,68065015
France,FR,2021,67842811
France,FR,2020,67601110
France,FR,2019,67382061
France,FR,2018,67158348
Germany,DE,2022,83797985
Germany,DE,2021,83196078
Germany,DE,2020,83160871
Germany,DE,2019,83092962
Germany,DE,2018,82905782
Japan,JP,2022,125124989
Japan,JP,2021,125681593
Japan,JP,2020,126261000
Japan,JP,2019,126633000
Japan,JP,2018,126811000
Netherlands,NL,2022,17700982
Netherlands,NL,2021,17533044
Netherlands,NL,2020,17441500
Netherlands,NL,2019,17344874
Netherlands,NL,2018,17231624
New Zealand,NZ,2022,5117200
New Zealand,NZ,2021,5111300
New Zealand,NZ,2020,5090200
New Zealand,NZ,2019,4979200
New Zealand,NZ,2018,4900600
Russia,RU,2022,144236933
Russia,RU,2021,144746762
Russia,RU,2020,145245148
Russia,RU,2019,145453291
Russia,RU,2018,145398106
Singapore,SG,2022,5637022
Singapore,SG,2021,5453566
Singapore,SG,2020,5685807
Singapore,SG,2019,5703569
Singapore,SG,2018,5638676
South Korea,KR,2022,51672569
South Korea,KR,2021,51769539
South Korea,KR,2020,51836239
South Korea,KR,2019,51764822
South Korea,KR,2018,51585058
Sweden,SE,2022,10486941
Sweden,SE,2021,10415811
Sweden,SE,2020,10353442
Sweden,SE,2019,10278887
Sweden,SE,2018,10175214
Switzerland,CH,2022,8777088
Switzerland,CH,2021,8704546
Switzerland,CH,2020,8638167
Switzerland,CH,2019,8575280
Switzerland,CH,2018,8514329
Taiwan,TW,2022,23500000
Taiwan,TW,2021,23450000
Taiwan,TW,2020,23400000
Taiwan,TW,2019,23350000
Taiwan,TW,2018,23300000
United Kingdom,GB,2022,67791000
United Kingdom,GB,2021,67026292
United Kingdom,GB,2020,67081234
United Kingdom,GB,2019,66836327
United Kingdom,GB,2018,66460344
United States,US,2022,333271411
United States,US,2021,332048977
United States,US,2020,331526933
United States,US,2019,328329953
United States,US,2018,326838199
